Collection_name,Value, 
Status,New,heroicon-o-document-add
Status,Processing,heroicon-o-cog
Status,Shipped,heroicon-o-truck
Status,Delivered,heroicon-o-gift
Status,Cancelled,heroicon-o-trash
Status,Draft,heroicon-o-cloud-upload
Address,Registered office,
Address,Residence,
Address,Domicile,
Address,User,
Address,Referent,
Address,Office,
Purchase,Draft,
Purchase,In processing,
Purchase,In approval,
Purchase,Approved,
Purchase,Order sent,
Purchase,Waiting for delivery,
Purchase,Partly delivered,
Purchase,Completely delivered,
Purchase,Canceled,
Currency,€,
Currency,$,
Currency,£,
Currency,¥,
Warehouse-Product,A,
Warehouse-Supplier,B,
Warehouse-Payment,Pagamento come convenuto,
Warehouse-Payment,Pagamento come indicato,
Warehouse-Payment,Pagamento da convenire,
Warehouse-Payment,Ricevuta bancaria a 30gg FM DF + 5gg ,
Warehouse-Payment,Ricevuta bancaria a 60gg FM DF + 5gg ,
Warehouse-Payment,Ricevuta bancaria a 60gg FM DF + 5gg ,
Warehouse-Transport,Franco NS deposito,
Warehouse-Transport,Franco VS deposito,
Warehouse-Unit,Pz,
Warehouse-Unit,Mt,
Warehouse-Unit,Lt,
Warehouse-Unit,Kg,
Warehouse-Unit,gr,
Warehouse-Unit,Gal,